!SIL    SIL
अनट्रेंड	a n a tx r ee q dx
अनत	a n a t
अनंत	a n a q t
अनंतकाल	a n a q t k aa l
अनंतनाग	a n a q t a n aa g
अनंतपुर	a n a q t a p u r
अनंतिम	a n a q t i m
अनंदा	a n a q d aa
अनदेखा	a n d ee kh aa
अनदेखी	a n d ee kh ii
अनदेखे	a n d ee kh ee
अनदेखेपन	a n d ee kh ee p a n
अनधारी	a n a dh aa r ii
अनधिकृत	a n dh i k rq t
अननेसेसरी	a n n ee s ee s r ii
अनन्तारा	a n a n t aa r aa
अनन्य	a n a n y
अनन्या	a n a n y aa
अनपढ़	a n p a dxhq
अनपढ़	a n p a dxhq
अनपैक	a n p ei k
अनप्रोफेशनल	a n a p r o ph ee sh n a l
अनफिट	a n ph i tx
अनफॉलो	a n ph ax l o
अनबन	a n b a n
अनब्लॉक	a n b l ax k
अनभिग्य	a n bh i g y
अनभिज्ञ	a n bh i j nj
अनमिल	a n m i l
अनमेल	a n m ee l
अनमैन्ड	a n m ei n dx
अनमोल	a n m o l
अःनय	a hq n a y
अनरिचेबल	a n r i c ee b a l
अनर्गल	a n a r g a l
अनर्थ	a n a r th
अनर्थों	a n a r th o q 
अनलर्न	a n l a r n
अनलाइक	a n l aa i k
अनलिटिका	a n l i tx i k aa
अनलितिका	a n l i t i k aa
अनलिमिटेड	a n l i m i tx ee dx
अनलिमिडेट	a n l i m i dx ee tx
अनलॉक	a n l ax k
अनलोडिंग	a n l o dx i q g
अनवर	a n w a r
अनवरत	a n a w r a t
अनवैलाब्ले	a n w ei l aa b l ee
अनशन	a n sh a n
अनसन	a n s a n
अनसुना	a n s u n aa
अनसुलझी	a n s u l jh ii
अनहोनी	a n h o n ii
अनाउंसमेंट	a n aa u q s a m ee q tx
अनाकारी	a n aa k aa r ii
अनाकुलम	a n aa k u l a m
अनाज	a n aa j
अनाज़	a n aa z
अनाजो	a n aa j o
अनाजों	a n aa j o q
अनाडोलू	a n aa dx o l uu
अनाथ	a n aa th
अनाथालय	a n aa th aa l a y
अनाधि	a n aa dh i
अनाधिकृत	a n aa dh i k rq t
अनानस	a n aa n a s
अनानी	a n aa n ii
अनाप	a n aa p
अनापत्ति	a n aa p a t t i
अनापूर्ति	a n aa p uu r t i
अनाफ्लिज	a n aa ph l i j
अनाम	a n aa m
अनामत	a n aa m a t
अनामिका	a n aa m i k aa
अनायास	a n aa y aa s
अनार	a n aa r
अनारकली	a n aa r a k l ii
अनारक्षित	a n aa r a k sx i t
अनारक्षी	a n aa r a k sx ii
अनावरण	a n aa w r a nx
अनावरत	a n aa w r a t
अनावशी	a n aa w a sh ii
अनावश्यक	a n aa w a sh y a k
अनास्तासियस	a n aa s t aa s i y a s
अनिक	a n i k
अनिकेत	a n i k ee t
अनिगन	a n i g a n
अनिद्रा	a n i d r aa
अनिंद्रा	a n i q d r aa
अनिमियता	a n i m i y t aa
अनिमेष	a n i m ee sx
अनियंत्रित	a n i y a q t r i t
अनियमित	a n i y m i t
अनियमितता	a n i y m i t t aa
अनियमितताएँ	a n i y m i t t aa ee mq
अनियमितताएं	a n i y m i t t aa ee q
अनियमितताओं	a n i y m i t t aa o q
अनियमितताय	a n i y m i t t aa y
अनियमिता	a n i y m i t aa
अनियमित्ता	a n i y m i t t aa
अनियमित्ताओ	a n i y m i t t aa o
अनियवारिता	a n i y w aa r i t aa
अनियोजित	a n i y o j i t
अनिरुद्ध	a n i r u d dh
अनिर्णय	a n i r nx a y
अनिर्वचनीय	a n i r w a c a n ii y
अनिल	a n i l
अनिवार्य	a n i w aa r y
अनिवार्यता	a n i w aa r y a t aa
अनिश	a n i sh
अनिशिध	a n i sh i dh
अनिश्चित	a n i sh c i t
अनिश्चितकालीन	a n i sh c i t k aa l ii n
अनिश्चितता	a n i sh c i t t aa
अनिष्टकारी	a n i sx tx a k aa r ii
अनीता	a n ii t aa
अनीताथ्	a n ii t aa th
अनीस	a n ii s
अनीसाबाद	a n ii s aa b aa d
अनीसुल	a n ii s u l
अनु	a n u
अनुकम्पा	a n u k a m p aa
अनुकरण	a n u k r a nx
अनुकूल	a n u k uu l
अनुकूलन	a n u k uu l a n
अनुग्रष्ट	a n u g r a sx tx
अनुग्रह	a n u g r a h
अनुग्रहित	a n u g r a h i t
अनुचको	a n u c k o
अनुचित	a n u c i t
अनुच्छेद	a n u c ch ee d
अनुज	a n u j
अनुज्ञप्ति	a n u j nj a p t i
अनुथान	a n u th aa n
अनुदान	a n u d aa n
अनुदानित	a n u d aa n i t
अनुदायिका	a n u d aa y i k aa
अनुदेशक	a n u d ee sh a k
अनुदेशको	a n u d ee sh k o
अनुधान	a n u dh aa n
अनुनत	a n u n a t
अनुपप्रिया	a n u p a p r i y aa
अनुपम	a n u p a m
अनुपयुक्त	a n u p y u k t
अनुपयोगी	a n u p y o g ii
अनुपर्योग	a n u p a r y o g
अनुपलब्ध	a n u p l a b dh
अनुपस्तिथि	a n u p a s t i th i
अनुपस्थित	a n u p a s th i t
अनुपस्थिति	a n u p a s th i t i
अनुपात	a n u p aa t
अनुपालक	a n u p aa l a k
अनुपालन	a n u p aa l a n
अनुपूरक	a n u p uu r a k
अनुप्रथा	a n u p r a th aa
अनुप्रयोग	a n u p r a y o g
अनुप्रयोगों	a n u p r a y o g o q
अनुप्रिया	a n u p r i y aa
अनुप्लाब्द्धता	a n u p l aa b d dh a t aa
अनुफग्ल	a n u ph g l
अनुबंध	a n u b a q dh
अनुबंधित	a n u b a q dh i t
अनुभव	a n u bh a w
अनुभविक	a n u bh w i k
अनुभवी	a n u bh w ii
अनुभवीक	a n u bh w ii k
अनुभवों	a n u bh w o q
अनुभागो	a n u bh aa g o
अनुभाव	a n u bh aa w
अनुभुज	a n u bh u j
अनुभूत	a n u bh uu t
अनुभूति	a n u bh uu t i
अनुभूतियों	a n u bh uu t i y o q
अनुमंडल	a n u m a q dx a l
अनुमंडलीय	a n u m a q dx a l ii y
अनुमति	a n u m t i
अनुमन्ता	a n u m a n t aa
अनुमान	a n u m aa n
अनुमानतः	a n u m aa n t a hq
अनुमानित	a n u m aa n i t
अनुमानों	a n u m aa n o q
अनुमिता	a n u m i t aa
अनुमोदन	a n u m o d a n
अनुमोदित	a n u m o d i t
अनुयायियों	a n u y aa y i y o q
अनुयायी	a n u y aa y ii
अनुयोग	a n u y o g
अनुराग	a n u r aa g
अनुरागित	a n u r aa g i t
अनुरागी	a n u r aa g ii
अनुराधा	a n u r aa dh aa
अनुराम	a n u r aa m
अनुरिोधि	a n u r i o dh i
अनुरूप	a n u r uu p
अनुरूपता	a n u r uu p t aa
अनुरोध	a n u r o dh
अनुर्वर	a n u r w a r
अनुलंघित	a n u l a q gh i t
अनुलोप्या	a n u l o p y aa
अनुवर्ती	a n u w a r t ii
अनुवाद	a n u w aa d
अनुवादित	a n u w aa d i t
अनुवांशिक	a n u w aa q sh i k
अनुवांशिकता	a n u w aa q sh i k t aa
अनुवांशिकी	a n u w aa q sh i k ii
अनुविभागीय	a n u w i bh aa g ii y
अनुवेतन	a n u w ee t a n
अनुशंगी	a n u sh a q g ii
अनुशंसा	a n u sh a q s aa
अनुशंसाओं	a n u sh a q s aa o q
अनुशासन	a n u sh aa s a n
अनुशासनप्रिय	a n u sh aa s n a p r i y
अनुशासनहीनता	a n u sh aa s n a h ii n t aa
अनुशासनात्मक	a n u sh aa s n aa t m a k
अनुशासित	a n u sh aa s i t
अनुशास्मक	a n u sh aa s m a k
अनुश्रवण	a n u sh r a w a nx
अनुष्का	a n u sx k aa
अनुष्ठान	a n u sx txh aa n
अनुष्ठानीक	a n u sx txh aa n ii k
अनुसंख्या	a n u s a q kh y aa
अनुसंछित	a n u s a q ch i t
अनुसंधान	a n u s a q dh aa n
अनुसंधानकर्ताओं	a n u s a q dh aa n k a r t aa o q
अनुसरण	a n u s r a nx
अनुसंशा	a n u s a q sh aa
अनुसंशाओ	a n u s a q sh aa o
अनुसंशाये	a n u s a q sh aa y ee
अनुसंसा	a n u s a q s aa
अनुसंस्था	a n u s a q s th aa
अनुसंस्थाय	a n u s a q s th aa y
अनुसा	a n u s aa
अनुसांगिक	a n u s aa q g i k
अनुसार	a n u s aa r
अनुसारि	a n u s aa r i
अनुसाशन	a n u s aa sh a n
अनुसाशानात्मक	a n u s aa sh aa n aa t m a k
अनुसाशान्हीनता	a n u s aa sh aa n h ii n t aa
अनुसाशित	a n u s aa sh i t
अनुसाषित	a n u s aa sx i t
अनुसूचित	a n u s uu c i t
अनुसूची	a n u s uu c ii
अनुसूया	a n u s uu y aa
अनुस्मारक	a n u s m aa r a k
अनूठा	a n uu txh aa
अनूठी	a n uu txh ii
अनूठे	a n uu txh ee 
अनूप	a n uu p
अनेक	a n ee k
अनेकता	a n ee k t aa
अनेकार्थी	a n ee k aa r th ii
अनेके	a n ee k ee
अनेको	a n ee k o
अनेकों	a n ee k o q
अनेमिया	a n ee m i y aa
अनेम्प्लोयेमेंट	a n ee m p l o y ee m ee q tx
अनेष्टत्व	a n ee sx tx a t w
अनैच्छिक	a n ei c ch i k 
अनैतिक	a n ei t i k
अनैतिकताओं	a n ei t i k t aa o q
अनोक	a n o k
अनोखा	a n o kh aa
अनोखी	a n o kh ii
अनोखे	a n o kh ee
अनौपचारिक	a n ou p c aa r i k
अन्गुक	a n g u k
अन्ग्रथारी	a n g r a th aa r ii
अन्चालू	a n c aa l uu
अन्छुत	a n ch u t
अन्जेलिक	a n j ee l i k
अन्जेली	a n j ee l ii
अन्ठान्वे	a n txh aa n w ee
अन्ठावन	a n txh aa w a n
अन्त	a n t
अन्तः	a n t hq
अन्तरराज्य	a n t a r a r aa j y
अन्तराष्ट्रीय	a n t a r aa sx tx r ii y
अन्तरिक्ष	a n t a r i k sx
अन्तर्राष्ट्रीय	a n t a r r aa sx tx r ii y
अन्तिदिरियल	a n t i d i r i y a l
अन्तिम	a n t i m
अन्तोदय	a n t o d a y
अन्त्य	a n t y
अन्त्योदय	a n t y o d a y
अन्थम	a n th a m
अन्थोनी	a n th o n ii
अन्दर	a n d a r
अन्दातायो	a n d aa t aa y o
अन्दोलानात्मक	a n d o l aa n aa t m a k
अन्द्रो	a n d r o
अन्धकार	a n dh a k aa r
अन्धराथारी	a n dh r aa th aa r ii
अन्धा	a n dh aa
अन्धाधुन	a n dh aa dh u n
अन्न	a n n
अन्नदाता	a n n d aa t aa
अन्नदाताओ	a n n d aa t aa o
अन्नपूर्ण	a n n p uu r nx
अन्नपूर्णा	a n n p uu r nx aa
अन्नप्राशन	a n n a p r aa sh a n
अन्ना	a n n aa
अन्नागार	a n n aa g aa r
अन्नाघार	a n n aa gh aa r
अन्नादी	a n n aa d ii
अन्नान	a n n aa n
अन्नापुरा	a n n aa p u r aa
अन्नामुदाई	a n n aa m u d aa ii
अन्नू	a n n uu
अन्प्रसिद	a n p r a s i d
अन्प्राशन	a n p r aa sh a n
अन्भिगता	a n bh i g a t aa
अन्भुज	a n bh u j
अन्य	a n y
अन्यथा	a n y a th aa
अन्याओं	a n y aa o q
अन्याय	a n y aa y
अन्यायपूर्ण	a n y aa y p uu r nx
अन्योजना	a n y o j n aa
अन्लोकी	a n l o k ii
अन्विता	a n w i t aa
अन्वेषण	a n w ee sx a nx
अन्सर	a n s a r
अप	a p
अपकमिंग	a p k a m i q g
अपक्ष	a p a k sx
अपखण्डन	a p kh a nx dx a n 
अपंग	a p a q g
अपगठित	a p g a txh i t
अपंगता	a p a q g a t aa
अपग्रेड	a p a g r ee dx
अपग्रेडेड	a p a g r ee dx ee dx
अःपंजाब	a hq p a q j aa b
अपटूडेट	a p a tx uu dx ee tx
अपठनीय	a p txh a n ii y
अपडाउन	a p dx aa u n
अपडेट	a p dx ee tx
अपडेटर	a p dx ee tx a r
अपडेटेड	a p dx ee tx ee dx
अपडेट्स	a p dx ee tx s
अःपतन	a hq p t a n
अपत्तिकरण	a p a t t i k r a nx
अपत्तिया	a p a t t i y aa
अपदाओ	a p d aa o
अपद्रव्य	a p a d r a w y
अःपंद्रह	a hq p a q d r a h
अपन	a p a n
अपनस	a p n a s
अपना	a p n aa
अपनाई	a p n aa ii
अपनाऊंगा	a p n aa uu q g aa
अपनाए	a p n aa ee
अपनाएं	a p n aa ee q
अपनाएगा	a p n aa ee g aa
अपनाएगी	a p n aa ee g ii
अपनाएंगे	a p n aa ee q g ee
अपनाओ	a p n aa o
अपनाकर	a p n aa k a r
अपनाता	a p n aa t aa
अपनाती	a p n aa t ii
अपनाते	a p n aa t ee
अपनाना	a p n aa n aa
अपनानी	a p n aa n ii
अपनाने	a p n aa n ee
अपनापन	a p n aa p a n
अपनापैसा	a p n aa p ei s aa
अपनाया	a p n aa y aa
अपनायी	a p n aa y ii
अपनाये	a p n aa y ee
अपनायेगी	a p n aa y ee g ii
अपनायेंगे	a p n aa y ee q g ee
अपनि	a p n i
अपनी	a p n ii
अपनीफायनेंशियल	a p n ii ph aa y n ee q sh i y a l
अपने	a p n ee
अपने-अपने	a p n ee bh a p n ee
अपनेअपने	a p n ee a p n ee
अपनेपन	a p n ee p a n
अपनो	a p n o
अपनों	a p n o q
अपभय	a p a bh a y
अपभ्रंश	a p a bh r a q sh
अपमान	a p m aa n
अपमानजनक	a p m aa n j a n a k
अपमानित	a p m aa n i t
अपर	a p a r
अपरकट	a p a r k a tx
अपराजय	a p r aa j a y
अपराजित	a p r aa j i t
अपराजिता	a p r aa j i t aa
अपराजेय	a p r aa j ee y
अपराध	a p r aa dh
अपराधिक	a p r aa dh i k
